Algorithme;Coupe min;Nombre de contractions
karger_improved;8;77
karger_recursive;8;23
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;12;30
karger_improved;1;180
karger_recursive;1;38
karger;6;7
karger_improved;7;15
karger_recursive;9;7
karger;6;11
karger_improved;6;34
karger_recursive;4;11
karger;2;1
karger_improved;2;1
karger_recursive;2;1
karger;48;19
karger_improved;5;77
karger_recursive;12;23
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;29;11
karger_improved;12;34
karger_recursive;41;11
karger;15;12
karger_improved;2;35
karger_recursive;2;12
karger;22;36
karger_improved;4;260
karger_recursive;11;46
karger;16;8
karger_improved;11;17
karger_recursive;9;8
karger;25;37
karger_improved;28;324
karger_recursive;72;47
karger;120;29
karger_improved;19;164
karger_recursive;74;37
karger;5;35
karger_improved;2;259
karger_recursive;4;45
karger;54;26
karger_improved;14;157
karger_recursive;50;32
karger;120;24
karger_improved;15;124
karger_recursive;48;30
karger;92;31
karger_improved;22;188
karger_recursive;22;39
karger;72;29
karger_improved;6;164
karger_recursive;65;37
karger;8;9
karger_improved;16;18
karger_recursive;10;9
karger;6;3
karger_improved;4;4
karger_recursive;4;3
karger;13;15
karger_improved;6;57
karger_recursive;3;17
karger;145;32
karger_improved;30;190
karger_recursive;74;40
karger;0;4
karger_improved;0;6
karger_recursive;0;4
karger;190;33
karger_improved;23;191
karger_recursive;25;43
karger;65;24
karger_improved;28;124
karger_recursive;58;30
karger;0;24
karger_improved;0;124
karger_recursive;0;30
karger;0;8
karger_improved;0;11
karger_recursive;0;8
karger;33;33
karger_improved;3;191
karger_recursive;28;43
karger;53;34
karger_improved;8;255
karger_recursive;23;44
karger;26;11
karger_improved;20;34
karger_recursive;25;11
karger;77;21
karger_improved;10;89
karger_recursive;27;25
karger;2;34
karger_improved;2;255
karger_recursive;4;44
karger;164;24
karger_improved;23;124
karger_recursive;128;30
karger;89;20
karger_improved;15;85
karger_recursive;24;24
karger;17;17
karger_improved;1;74
karger_recursive;1;19
karger;74;20
karger_improved;24;85
karger_recursive;51;24
