Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
201,karger_recursive,12,1,192
201,karger_improved,12,3,12
201,karger,12,3,6
202,karger_recursive,1,1,0
202,karger_improved,1,1,0
202,karger,1,1,0
203,karger_recursive,287,22,7176
203,karger_improved,287,46,46
203,karger,287,24,23
204,karger_recursive,37,0,5544
204,karger_improved,37,0,42
204,karger,37,0,21
205,karger_recursive,115,0,4400
205,karger_improved,115,40,38
205,karger,115,11,19
206,karger_recursive,9,0,3042
206,karger_improved,9,0,18
206,karger,9,0,9
207,karger_recursive,34,6,280
207,karger_improved,34,7,14
207,karger,34,18,7
208,karger_recursive,25,5,192
208,karger_improved,25,12,12
208,karger,25,13,6
209,karger_recursive,33,0,4180
209,karger_improved,33,0,38
209,karger,33,0,19
210,karger_recursive,69,0,1274
210,karger_improved,69,35,24
210,karger,69,36,12
211,karger_recursive,0,-1,0
211,karger_improved,0,0,0
211,karger,0,0,0
212,karger_recursive,38,0,792
212,karger_improved,38,11,20
212,karger,38,7,10
213,karger_recursive,214,12,8112
213,karger_improved,214,17,48
213,karger,214,87,24
214,karger_recursive,34,0,792
214,karger_improved,34,7,20
214,karger,34,12,10
215,karger_recursive,4,0,48
215,karger_improved,4,1,6
215,karger,4,1,3
216,karger_recursive,3,0,8
216,karger_improved,3,2,2
216,karger,3,2,1
217,karger_recursive,100,0,4400
217,karger_improved,100,38,38
217,karger,100,34,19
218,karger_recursive,19,0,400
218,karger_improved,19,0,16
218,karger,19,0,8
219,karger_recursive,118,0,3240
219,karger_improved,118,41,34
219,karger,118,28,17
220,karger_recursive,410,25,12600
220,karger_improved,410,97,56
220,karger,410,136,28
221,karger_recursive,3,0,96
221,karger_improved,3,0,6
221,karger,3,0,3
222,karger_recursive,1,0,12
222,karger_improved,1,0,2
222,karger,1,0,1
223,karger_recursive,65,0,1920
223,karger_improved,65,22,28
223,karger,65,38,14
224,karger_recursive,35,0,7176
224,karger_improved,35,0,46
224,karger,35,0,23
225,karger_recursive,140,0,2754
225,karger_improved,140,50,32
225,karger,140,63,16
226,karger_recursive,9,0,400
226,karger_improved,9,0,16
226,karger,9,0,8
227,karger_recursive,274,0,6624
227,karger_improved,274,23,44
227,karger,274,23,22
228,karger_recursive,10,1,192
228,karger_improved,10,1,12
228,karger,10,3,6
229,karger_recursive,0,-1,0
229,karger_improved,0,0,0
229,karger,0,0,0
230,karger_recursive,14,0,2268
230,karger_improved,14,0,28
230,karger,14,0,14
231,karger_recursive,54,0,2304
231,karger_improved,54,6,30
231,karger,54,24,15
232,karger_recursive,3,0,120
232,karger_improved,3,0,6
232,karger,3,0,3
233,karger_recursive,12,0,192
233,karger_improved,12,0,12
233,karger,12,0,6
234,karger_recursive,61,0,1008
234,karger_improved,61,9,22
234,karger,61,8,11
235,karger_recursive,102,0,3240
235,karger_improved,102,19,34
235,karger,102,48,17
236,karger_recursive,18,0,3520
236,karger_improved,18,0,32
236,karger,18,0,16
237,karger_recursive,4,0,24
237,karger_improved,4,1,4
237,karger,4,2,2
238,karger_recursive,1,0,112
238,karger_improved,1,0,2
238,karger,1,0,1
239,karger_recursive,179,8,11340
239,karger_improved,179,46,54
239,karger,179,53,27
240,karger_recursive,61,0,1568
240,karger_improved,61,10,26
240,karger,61,6,13
241,karger_recursive,33,0,1920
241,karger_improved,33,4,28
241,karger,33,2,14
242,karger_recursive,31,0,1274
242,karger_improved,31,4,24
242,karger,31,1,12
243,karger_recursive,0,-1,0
243,karger_improved,0,0,0
243,karger,0,0,0
244,karger_recursive,103,0,4400
244,karger_improved,103,40,38
244,karger,103,32,19
245,karger_recursive,12,2,120
245,karger_improved,12,2,10
245,karger,12,3,5
246,karger_recursive,95,0,2754
246,karger_improved,95,10,32
246,karger,95,43,16
247,karger_recursive,124,0,4400
247,karger_improved,124,12,38
247,karger,124,57,19
248,karger_recursive,119,0,3240
248,karger_improved,119,31,34
248,karger,119,47,17
249,karger_recursive,5,0,120
249,karger_improved,5,0,10
249,karger,5,0,5
250,karger_recursive,63,0,2754
250,karger_improved,63,22,32
250,karger,63,28,16
251,karger_recursive,0,0,0
251,karger_improved,0,0,0
251,karger,0,0,0
252,karger_recursive,30,0,1008
252,karger_improved,30,10,22
252,karger,30,4,11
253,karger_recursive,1,0,98
253,karger_improved,1,0,2
253,karger,1,0,1
254,karger_recursive,26,0,1920
254,karger_improved,26,4,28
254,karger,26,2,14
255,karger_recursive,12,0,90
255,karger_improved,12,7,8
255,karger,12,7,4
256,karger_recursive,22,0,1274
256,karger_improved,22,5,24
256,karger,22,2,12
257,karger_recursive,12,0,792
257,karger_improved,12,1,20
257,karger,12,1,10
258,karger_recursive,10,0,1152
258,karger_improved,10,0,18
258,karger,10,0,9
259,karger_recursive,106,0,5082
259,karger_improved,106,47,40
259,karger,106,18,20
260,karger_recursive,3,0,36
260,karger_improved,3,0,6
260,karger,3,0,3
261,karger_recursive,5,0,160
261,karger_improved,5,0,10
261,karger,5,0,5
262,karger_recursive,33,5,400
262,karger_improved,33,7,16
262,karger,33,13,8
263,karger_recursive,347,20,11340
263,karger_improved,347,67,54
263,karger,347,51,27
264,karger_recursive,9,1,120
264,karger_improved,9,3,10
264,karger,9,1,5
265,karger_recursive,22,3,280
265,karger_improved,22,3,14
265,karger,22,7,7
266,karger_recursive,163,0,3800
266,karger_improved,163,62,36
266,karger,163,15,18
267,karger_recursive,0,-1,0
267,karger_improved,0,0,0
267,karger,0,0,0
268,karger_recursive,4,0,24
268,karger_improved,4,1,4
268,karger,4,2,2
269,karger_recursive,303,18,10192
269,karger_improved,303,149,52
269,karger,303,59,26
270,karger_recursive,94,0,6624
270,karger_improved,94,14,44
270,karger,94,34,22
271,karger_recursive,153,6,10192
271,karger_improved,153,71,52
271,karger,153,68,26
272,karger_recursive,258,14,10192
272,karger_improved,258,53,52
272,karger,258,123,26
273,karger_recursive,6,0,672
273,karger_improved,6,0,12
273,karger,6,0,6
274,karger_recursive,214,0,5082
274,karger_improved,214,79,40
274,karger,214,82,20
275,karger_recursive,93,0,5808
275,karger_improved,93,39,42
275,karger,93,4,21
276,karger_recursive,218,0,5808
276,karger_improved,218,19,42
276,karger,218,35,21
277,karger_recursive,15,0,4320
277,karger_improved,15,0,30
277,karger,15,0,15
278,karger_recursive,214,0,5808
278,karger_improved,214,34,42
278,karger,214,110,21
279,karger_recursive,10,0,48
279,karger_improved,10,6,6
279,karger,10,4,3
280,karger_recursive,49,0,2304
280,karger_improved,49,19,30
280,karger,49,4,15
281,karger_recursive,0,0,0
281,karger_improved,0,0,0
281,karger,0,0,0
282,karger_recursive,5,0,24
282,karger_improved,5,3,4
282,karger,5,3,2
283,karger_recursive,55,0,6336
283,karger_improved,55,0,44
283,karger,55,0,22
284,karger_recursive,46,0,2304
284,karger_improved,46,6,30
284,karger,46,2,15
285,karger_recursive,13,0,3432
285,karger_improved,13,0,26
285,karger,13,0,13
286,karger_recursive,10,0,48
286,karger_improved,10,6,6
286,karger,10,4,3
287,karger_recursive,27,0,4356
287,karger_improved,27,0,36
287,karger,27,0,18
288,karger_recursive,12,0,1440
288,karger_improved,12,0,20
288,karger,12,0,10
289,karger_recursive,25,0,2754
289,karger_improved,25,1,32
289,karger,25,3,16
290,karger_recursive,77,0,1920
290,karger_improved,77,29,28
290,karger,77,15,14
